Timeframe,Title,Company,Achievements
"02/2000 - 10/2001","Maintenance & Repair Technician","StepPro Lda., Portugal","Maintenance and repair of audiovisual equipment and medical devices."
"10/2002 - 03/2003","IT Trainee","BPI Bank, Portugal","IT trainee supporting the Procurement and Logistics department."
"01/2004 - 12/2004","IT Software Tester","Novabase, Portugal","Software tester within the Software Quality Assurance team."
"01/2005 - 04/2005","IT Consultant","Areagest, Portugal","IT consultant developing and testing web-based accounting solutions."
"05/2005 - 05/2008","IT Analyst, Portugal","Johnson & Johnson - Medical Devices, Portugal","Served as IT Solutions Implementer/ Project Manager and Systems Support Lead for Portugal. Delivered solutions for commercial applications (e.g. performance monitoring, SMS sales info, key account intranets, sales forecast) and customer services using desktop, web and mobile technologies, while overseeing local ERP, CRM, BI and Sales Force Effectiveness systems."
"06/2008 - 03/2012","IT Sr. Analyst, Iberia","Johnson & Johnson - Medical Devices, Portugal","Extended Systems Support Lead to the Iberia cluster, aligning business goals with IT projects and implementing small-to-intermediate solutions end to end. Coordinated L1/2/3 support tiers with third parties and participated in SOX audits and Process Excellence certifications."
"04/2012 - 11/2014","IT Sr. Analyst, Sales Force Effectiveness EMEA","Johnson & Johnson - Medical Devices, Portugal","Strategic partner for global mobility transformation initiatives, covering mobile application development framework evaluation, e-detailing solutions implementation and mobility metrics/dashboards."
"03/2014 - 01/2016","IT Lead, TotalView & Mobility Global","Johnson & Johnson - Medical Devices, Portugal","Managed a global mobility operations team (NA/LA/EMEA/ASPAC) delivering device and application lifecycle services (MDM/MAM, iOS/Android). Co-led development frameworks and certifications, e-detailing vendor assessments, and mobility metrics/dashboards for TCO optimization, and established a global mobility community of practice."
"02/2016 - 05/2023","IT Lead / Project Manager, Productivity & Collaboration Product Line Global","Johnson & Johnson - Medical Devices, Portugal","Led the Digital Acceleration Service, delivering regional no-code/low-code solutions across NA and EMEA at minimal total cost of ownership. Co-led the P&C Insights Framework with Nexthink and Power BI adoption dashboards, drove P&C tools adoption and training with a regional community of practice, and co-led the rollout of new computing platforms with virtualization assessments."
"06/2023 - 12/2024","IT Lead / Project Manager, Global Education & Omnichannel Product Lines EMEA","Johnson & Johnson - Medical Devices, Portugal","Co-led the Contracts Management and Data Migration workstreams of the HCP CRM transformation (Cignon to MS Dynamics). Improved Complaint Handling and Customer Data Platform integration, delivered an RPA events forecasting solution, and ran Generative AI PoCs for omnichannel marketing while supporting the J&J GenAI Community of Practice training workstream."
